sql_feature_name,public_label,source_dataset,analytical_definition,numerator,denominator,unit,aggregation_period,missing_value_rule,eligibility_requirement,expected_range,interpretation,interpretation_caution
ocs_submissions_per_1000_patient_months,Recorded online submissions per 1000 registered patient-months,OCS,"One thousand times total recorded OCS submissions divided by summed monthly registered-list exposure",Annual OCS total submissions,Sum of 12 monthly registered-patient counts,Submissions per 1000 registered patient-months,April 2025-March 2026,"Undefined denominator remains NULL; no imputation",12 OCS months and 12 positive denominators,Non-negative finite,Relative volume of recorded online submissions normalised for practice list-size exposure,"Not all practice demand; affected by supplier participation, system availability and patient digital use"
ocs_clinical_share,Clinical share of recorded online submissions,OCS,Annual clinical OCS submissions divided by annual total OCS submissions,Annual clinical submissions,Annual total OCS submissions,Proportion,April 2025-March 2026,"Zero annual total leaves the ratio undefined and the practice is excluded",Positive annual OCS total and 12 OCS months,0 to 1,Composition of recorded online submissions classified as clinical,"Classification varies by supplier/patient input; not patient case mix or clinical need"
ocs_administrative_share,Administrative share of recorded online submissions,OCS,Annual administrative OCS submissions divided by annual total OCS submissions,Annual administrative submissions,Annual total OCS submissions,Proportion,April 2025-March 2026,"Zero annual total leaves the ratio undefined and the practice is excluded",Positive annual OCS total and 12 OCS months,0 to 1,Composition of recorded online submissions classified as administrative,"Other/unknown is the residual composition; not administrative workload"
gpad_appointments_per_1000_patient_months,Recorded appointments per 1000 registered patient-months,GPAD and OCS denominator,"One thousand times total recorded GPAD appointments divided by summed monthly registered-list exposure",Annual GPAD total appointments,Sum of 12 monthly registered-patient counts,Appointments per 1000 registered patient-months,April 2025-March 2026,"Undefined denominator remains NULL; no imputation",12 GPAD months and 12 positive denominators,Non-negative finite,Relative volume of recorded scheduled appointment activity normalised for list size,"GPAD is not total workload, capacity, unmet need or demand"
gpad_dna_share,Did-not-attend share of recorded appointments,GPAD,Annual DNA appointments divided by annual total appointments,Annual appointments with status DNA,Annual total GPAD appointments,Proportion,April 2025-March 2026,"Zero annual total remains undefined; no imputation",12 GPAD months and positive annual total,0 to 1,Recorded status composition of scheduled activity,"Recording practices and the unknown status category affect interpretation; not a quality score"
gpad_face_to_face_share,Face-to-face share of recorded appointments,GPAD,Annual face-to-face appointments divided by annual total appointments,Annual appointments with mode face to face,Annual total GPAD appointments,Proportion,April 2025-March 2026,"Zero annual total remains undefined; no imputation",12 GPAD months and reconciled mode categories,0 to 1,Recorded mode composition of scheduled activity,"Mode is set/mapped from practice systems and may not represent the actual care setting"
gpad_telephone_share,Telephone share of recorded appointments,GPAD,Annual telephone appointments divided by annual total appointments,Annual appointments with mode telephone,Annual total GPAD appointments,Proportion,April 2025-March 2026,"Zero annual total remains undefined; no imputation",12 GPAD months and reconciled mode categories,0 to 1,Recorded telephone-mode composition of scheduled activity,"Telephone lists and locally recorded modes vary; not total telephone contact"
gpad_same_day_share,Same-day booking share of recorded appointments,GPAD,Annual same-day appointments divided by annual total appointments,Annual appointments in exact SAME DAY band,Annual total GPAD appointments,Proportion,April 2025-March 2026,"Unknown/data-issue remains a separate category; no imputation",12 GPAD months and reconciled booking categories,0 to 1,Share of recorded appointments booked on the same calendar date,"Influenced by urgency, patient choice, availability and recording; not independently service quality"
gpad_1_to_7_days_share,One-to-seven-day booking share of recorded appointments,GPAD,"Separately calculated 1-day share plus separately calculated 2-to-7-day share",Annual 1-day appointments plus annual 2-to-7-day appointments,Annual total GPAD appointments,Proportion,April 2025-March 2026,"Unknown/data-issue remains separate; no imputation",12 GPAD months and mutually exclusive booking bands,0 to 1,Share of recorded appointments booked 1-7 calendar days before the appointment,"Does not include same-day activity and does not independently measure access quality"
gpad_8_to_14_days_share,Eight-to-fourteen-day booking share of recorded appointments,GPAD,Annual 8-to-14-day appointments divided by annual total appointments,Annual appointments in exact 8 TO 14 DAYS band,Annual total GPAD appointments,Proportion,April 2025-March 2026,"Unknown/data-issue remains separate; no imputation",12 GPAD months and reconciled booking categories,0 to 1,Share of recorded appointments booked 8-14 calendar days before the appointment,"Elapsed booking time does not measure time spent attempting to obtain an appointment"
gpad_over_14_days_share,Over-fourteen-day booking share of recorded appointments,GPAD,"Annual 15-21, 22-28 and more-than-28-day appointments divided by annual total appointments",Annual appointments in 15-21 plus 22-28 plus more-than-28-day bands,Annual total GPAD appointments,Proportion,April 2025-March 2026,"Unknown/data-issue remains separate; no imputation",12 GPAD months and mutually exclusive booking bands,0 to 1,Share of recorded appointments booked more than 14 calendar days ahead,"Includes planned/repeat activity and patient choice; not independently a delay or quality measure"
ocs_mean_absolute_monthly_rate_change,Mean absolute monthly change in online-submission rate,OCS,"Mean of 11 absolute adjacent-month differences in monthly OCS submissions per 1000 registered patients",Absolute month-to-month changes in monthly OCS rate,11 adjacent monthly intervals,Rate points per 1000 registered patients,April 2025-March 2026,"Any missing monthly rate prevents complete eligibility; no imputation",12 ordered OCS months and 12 positive denominators,Non-negative finite,Within-practice temporal variation in the recorded monthly OCS rate,"Can reflect seasonality, availability, supplier reporting and list changes; not demand volatility alone"
gpad_mean_absolute_monthly_rate_change,Mean absolute monthly change in appointment rate,GPAD and OCS denominator,"Mean of 11 absolute adjacent-month differences in monthly GPAD appointments per 1000 registered patients",Absolute month-to-month changes in monthly GPAD rate,11 adjacent monthly intervals,Rate points per 1000 registered patients,April 2025-March 2026,"Any missing monthly rate prevents complete eligibility; no imputation",12 ordered GPAD months and 12 positive denominators,Non-negative finite,Within-practice temporal variation in the recorded monthly appointment rate,"Can reflect recording and calendar effects; not workload or demand volatility alone"

